Dish,Count
sierra nevada,1
business casual,1
pea puree,1
brown butter,1
tomatoes and onions,1
ciabatta,1
their garlic sauce,1
capers,1
gnocchi,1
lamb shank,1
truffle roasted,1
angel wings,1
swordfish,1
wedding cake,1
middle eastern,1
huevos rancheros,1
stir frying,1
march madness,1
goulash,1
malga,1
gavi,1
greek food,1
panino,1
emeril lagasse,1
strawberry shortcake,1
chicken kabob,1
humble pie,1
kool aid,1
wild rice,1
pale ale,1
bone in ribeye,1
mint tea,1
thai chinese,1
